X,Y,OBJECTID,org_name,Name,addrln1,city,state,post_id,zip,latitude,longitude,POINT_X,POINT_Y
-118.3959456,33.86444973,63074,LA County,LA County Library - Hermosa Beach Library,550 Pier Ave,Hermosa Beach,CA,70518,90254,33.86444976,-118.3959455,6441464.736,1773287.332
-118.1685962,33.91771613,63076,LA County,LA County Library - Hollydale Library,12000 S Garfield Ave,South Gate,CA,70519,90280,33.91771616,-118.1685961,6510518.433,1792478.388
-118.2186866,33.98034884,63078,LA County,LA County Library - Huntington Park Library,6518 Miles Ave,Huntington Park,CA,70520,90255,33.98034887,-118.2186865,6495370.663,1815301.023
-118.1942018,34.20276638,63080,LA County,LA County Library - La Canada Flintridge Library,4545 N Oakwood Ave,La Canada Flintridge,CA,70521,91011,34.20276641,-118.1942017,6502950.142,1896227.611
-118.2400811,34.22430836,63083,LA County,LA County Library - La Crescenta Library,2809 Foothill Blvd,La Crescenta,CA,70522,91214,34.22430839,-118.240081,6489096.504,1904097.071
-117.8280264,34.61680611,63093,LA County,LA County Library - Lake Los Angeles Library,16921 E Ave O,Palmdale,CA,70526,93591,34.61680614,-117.8280264,6613411.684,2046892.924
-118.0103249,33.90637296,63085,LA County,LA County Library - La Mirada Library,13800 La Mirada Blvd,La Mirada,CA,70523,90638,33.90637299,-118.0103248,6558537.359,1788307.613
-118.1395218,34.69813093,63095,LA County,LA County Library - Lancaster Library,601 W Lancaster Blvd,Lancaster,CA,70527,93534,34.69813096,-118.1395217,6519733.775,2076474.233
-117.9511805,34.01984809,63089,LA County,LA County Library - La Puente Library,15920 E Central Ave,La Puente,CA,70524,91744,34.01984812,-117.9511804,6576464.104,1829607.086
-117.7644725,34.11141318,63091,LA County,LA County Library - La Verne Library,3640 D St,La Verne,CA,70525,91750,34.11141321,-117.7644724,6632963.977,1863009.322
-118.3538798,33.89887607,63098,LA County,LA County Library - Lawndale Library,14615 Burin Ave,Lawndale,CA,70529,90260,33.8988761,-118.3538797,6454279.597,1785768.194
-118.2014182,33.94409765,63101,LA County,LA County Library - Leland R. Weaver Library,4035 Tweedy Blvd,South Gate,CA,70530,90280,33.94409768,-118.2014181,6500579.519,1802097.523
-118.358948,33.93735907,63103,LA County,LA County Library - Lennox Library,4359 Lennox Blvd.,Lennox,CA,70531,90304,33.9373591,-118.3589479,6452791.584,1799778.399
-117.9882631,34.51996652,63105,LA County,LA County Library - Littlerock Library,35119 80Th St E,Littlerock,CA,70532,93543,34.51996655,-117.988263,6565205.724,2011606.501
-118.0130704,34.10991984,63107,LA County,LA County Library - Live Oak Library,4153 E Live Oak Ave,Arcadia,CA,70533,91006,34.10991987,-118.0130703,6557713.904,1862382.595
-118.443128,33.98288705,63110,LA County,LA County Library - Lloyd Taber-Marina Del Rey Library,4533 Admiralty Way,Marina Del Rey,CA,70534,90292,33.98288708,-118.443128,6427330.656,1816448.724
