GEO_ID,NAME,B05001_001E,B05001_002E,B05001_003E,B05001_004E,B05001_005E,B05001_006E
Geography,Geographic Area Name,Total Population,"U.S. citizen, born in the United States","U.S. citizen, born in Puerto Rico or U.S. Island Areas","U.S. citizen, born abroad of American parent(s)",U.S. citizen by naturalization,Not a U.S. citizen
1400000US06037108103,"Census Tract 1081.03, Los Angeles County, California",3064,1703,47,151,1018,145
1400000US06037108104,"Census Tract 1081.04, Los Angeles County, California",1756,1292,0,26,390,48
1400000US06037108202,"Census Tract 1082.02, Los Angeles County, California",8776,5400,0,225,2484,667
1400000US06037108203,"Census Tract 1082.03, Los Angeles County, California",3301,1874,0,23,1157,247
1400000US06037108204,"Census Tract 1082.04, Los Angeles County, California",1831,1033,0,0,627,171
1400000US06037109100,"Census Tract 1091, Los Angeles County, California",2558,1459,0,17,771,311
1400000US06037109200,"Census Tract 1092, Los Angeles County, California",2863,1757,0,14,812,280
1400000US06037109300,"Census Tract 1093, Los Angeles County, California",2846,1599,0,70,839,338
1400000US06037109400,"Census Tract 1094, Los Angeles County, California",4285,2346,0,96,1022,821
1400000US06037109500,"Census Tract 1095, Los Angeles County, California",4238,2600,0,81,710,847
1400000US06037109601,"Census Tract 1096.01, Los Angeles County, California",4849,3065,0,170,1271,343
1400000US06037109603,"Census Tract 1096.03, Los Angeles County, California",4235,2134,0,33,1354,714
1400000US06037109604,"Census Tract 1096.04, Los Angeles County, California",2812,1856,11,8,697,240
1400000US06037109700,"Census Tract 1097, Los Angeles County, California",4496,3008,0,61,1033,394
1400000US06037109800,"Census Tract 1098, Los Angeles County, California",4766,3137,0,10,1138,481
1400000US06037111100,"Census Tract 1111, Los Angeles County, California",3058,1926,0,68,797,267
1400000US06037111201,"Census Tract 1112.01, Los Angeles County, California",3462,2334,0,55,927,146
1400000US06037111202,"Census Tract 1112.02, Los Angeles County, California",5749,3342,0,114,1453,840
1400000US06037111204,"Census Tract 1112.04, Los Angeles County, California",5614,3543,21,28,1540,482
1400000US06037111205,"Census Tract 1112.05, Los Angeles County, California",3761,2442,0,32,916,371
1400000US06037111206,"Census Tract 1112.06, Los Angeles County, California",4361,3162,0,64,922,213
1400000US06037111302,"Census Tract 1113.02, Los Angeles County, California",4895,3010,25,0,1168,692
1400000US06037111303,"Census Tract 1113.03, Los Angeles County, California",4975,2597,0,23,1761,594
1400000US06037111304,"Census Tract 1113.04, Los Angeles County, California",2987,1574,0,156,585,672
1400000US06037111401,"Census Tract 1114.01, Los Angeles County, California",2265,1581,13,17,529,125
1400000US06037111402,"Census Tract 1114.02, Los Angeles County, California",6294,2997,0,106,1620,1571
1400000US06037113101,"Census Tract 1131.01, Los Angeles County, California",3580,2601,0,10,817,152
1400000US06037113102,"Census Tract 1131.02, Los Angeles County, California",2717,1991,0,9,592,125
1400000US06037113211,"Census Tract 1132.11, Los Angeles County, California",4121,3251,0,39,626,205
1400000US06037113212,"Census Tract 1132.12, Los Angeles County, California",3163,2065,0,17,589,492
1400000US06037113213,"Census Tract 1132.13, Los Angeles County, California",5176,3666,0,11,1273,226
1400000US06037113231,"Census Tract 1132.31, Los Angeles County, California",2230,1521,13,25,588,83
1400000US06037113232,"Census Tract 1132.32, Los Angeles County, California",4973,3369,0,28,1322,254
1400000US06037113234,"Census Tract 1132.34, Los Angeles County, California",5371,2566,0,130,1273,1402
1400000US06037113235,"Census Tract 1132.35, Los Angeles County, California",1680,1443,0,18,155,64
1400000US06037113237,"Census Tract 1132.37, Los Angeles County, California",5130,3596,0,209,1149,176
1400000US06037113238,"Census Tract 1132.38, Los Angeles County, California",4165,2345,39,54,915,812
1400000US06037113239,"Census Tract 1132.39, Los Angeles County, California",2354,1799,0,0,253,302
1400000US06037113301,"Census Tract 1133.01, Los Angeles County, California",4293,2635,0,71,837,750
1400000US06037113303,"Census Tract 1133.03, Los Angeles County, California",3899,2750,0,72,813,264
1400000US06037113322,"Census Tract 1133.22, Los Angeles County, California",4405,3077,0,48,979,301
1400000US06037113323,"Census Tract 1133.23, Los Angeles County, California",3884,2853,0,0,760,271
1400000US06037113324,"Census Tract 1133.24, Los Angeles County, California",2931,1745,0,0,334,852
1400000US06037113423,"Census Tract 1134.23, Los Angeles County, California",3259,1930,0,162,752,415
1400000US06037113424,"Census Tract 1134.24, Los Angeles County, California",3256,2296,16,0,846,98
1400000US06037113425,"Census Tract 1134.25, Los Angeles County, California",4561,2459,0,83,744,1275
1400000US06037113426,"Census Tract 1134.26, Los Angeles County, California",2412,1362,0,8,843,199
1400000US06037113427,"Census Tract 1134.27, Los Angeles County, California",2156,1261,0,85,503,307
1400000US06037113428,"Census Tract 1134.28, Los Angeles County, California",4026,2976,11,16,891,132
1400000US06037115101,"Census Tract 1151.01, Los Angeles County, California",5031,3579,10,19,1136,287
1400000US06037115103,"Census Tract 1151.03, Los Angeles County, California",3037,2616,0,44,120,257
1400000US06037115104,"Census Tract 1151.04, Los Angeles County, California",4509,2965,0,10,750,784
1400000US06037115202,"Census Tract 1152.02, Los Angeles County, California",5975,4151,0,21,1260,543
1400000US06037115203,"Census Tract 1152.03, Los Angeles County, California",2101,1322,0,0,429,350
1400000US06037115204,"Census Tract 1152.04, Los Angeles County, California",3957,2625,0,54,696,582
1400000US06037115301,"Census Tract 1153.01, Los Angeles County, California",4677,2811,57,80,1047,682
1400000US06037115302,"Census Tract 1153.02, Los Angeles County, California",3645,1766,0,65,971,843
1400000US06037115401,"Census Tract 1154.01, Los Angeles County, California",6186,3096,0,14,1725,1351
1400000US06037115403,"Census Tract 1154.03, Los Angeles County, California",3373,1651,0,22,912,788
1400000US06037115404,"Census Tract 1154.04, Los Angeles County, California",2796,1481,17,24,711,563
1400000US06037117101,"Census Tract 1171.01, Los Angeles County, California",5130,2495,0,83,1486,1066
1400000US06037117102,"Census Tract 1171.02, Los Angeles County, California",2661,1484,6,10,826,335
1400000US06037117201,"Census Tract 1172.01, Los Angeles County, California",4608,2653,38,24,736,1157
1400000US06037117202,"Census Tract 1172.02, Los Angeles County, California",2840,1726,29,42,744,299
1400000US06037117301,"Census Tract 1173.01, Los Angeles County, California",3732,2183,0,50,1099,400
1400000US06037117302,"Census Tract 1173.02, Los Angeles County, California",4746,3295,0,21,924,506
1400000US06037117303,"Census Tract 1173.03, Los Angeles County, California",4510,2934,0,15,1146,415
1400000US06037117404,"Census Tract 1174.04, Los Angeles County, California",5466,3730,0,175,1101,460
1400000US06037117405,"Census Tract 1174.05, Los Angeles County, California",3406,1555,0,14,650,1187
1400000US06037117407,"Census Tract 1174.07, Los Angeles County, California",3702,1787,5,9,549,1352
1400000US06037117408,"Census Tract 1174.08, Los Angeles County, California",2592,1285,0,10,438,859
1400000US06037117510,"Census Tract 1175.10, Los Angeles County, California",3878,1667,0,48,672,1491
1400000US06037117520,"Census Tract 1175.20, Los Angeles County, California",4322,2364,0,26,529,1403
1400000US06037117530,"Census Tract 1175.30, Los Angeles County, California",6195,2800,12,0,1127,2256
1400000US06037119001,"Census Tract 1190.01, Los Angeles County, California",4417,2246,0,7,1344,820
1400000US06037119003,"Census Tract 1190.03, Los Angeles County, California",4070,2498,0,0,970,602
1400000US06037119004,"Census Tract 1190.04, Los Angeles County, California",3398,1826,0,99,910,563
1400000US06037119201,"Census Tract 1192.01, Los Angeles County, California",4325,2512,0,177,993,643
1400000US06037119202,"Census Tract 1192.02, Los Angeles County, California",4895,2702,74,68,949,1102
1400000US06037119310,"Census Tract 1193.10, Los Angeles County, California",3893,2094,0,49,1001,749
1400000US06037119320,"Census Tract 1193.20, Los Angeles County, California",4602,2036,0,0,972,1594
1400000US06037119340,"Census Tract 1193.40, Los Angeles County, California",4034,2076,0,57,268,1633
1400000US06037119341,"Census Tract 1193.41, Los Angeles County, California",2670,925,0,35,893,817
1400000US06037119342,"Census Tract 1193.42, Los Angeles County, California",2902,1579,0,0,549,774
1400000US06037119400,"Census Tract 1194, Los Angeles County, California",5307,2878,0,31,1338,1060
1400000US06037119700,"Census Tract 1197, Los Angeles County, California",4781,2431,0,0,1684,666
1400000US06037119801,"Census Tract 1198.01, Los Angeles County, California",2608,1566,0,39,716,287
1400000US06037119802,"Census Tract 1198.02, Los Angeles County, California",3313,1748,0,145,852,568
1400000US06037119900,"Census Tract 1199, Los Angeles County, California",4837,2380,1,36,1656,764
1400000US06037120010,"Census Tract 1200.10, Los Angeles County, California",2617,1382,0,46,602,587
1400000US06037120020,"Census Tract 1200.20, Los Angeles County, California",3945,1819,0,0,706,1420
1400000US06037120030,"Census Tract 1200.30, Los Angeles County, California",2448,1105,0,0,432,911
1400000US06037120103,"Census Tract 1201.03, Los Angeles County, California",3057,1467,0,6,256,1328
1400000US06037120104,"Census Tract 1201.04, Los Angeles County, California",2308,1220,5,11,591,481
1400000US06037120105,"Census Tract 1201.05, Los Angeles County, California",2645,1201,0,15,787,642
1400000US06037120106,"Census Tract 1201.06, Los Angeles County, California",4462,2107,0,6,786,1563
1400000US06037120107,"Census Tract 1201.07, Los Angeles County, California",4222,1947,13,96,541,1625
1400000US06037120108,"Census Tract 1201.08, Los Angeles County, California",4517,1806,43,19,1019,1630
1400000US06037120300,"Census Tract 1203, Los Angeles County, California",4982,2375,0,115,1385,1107
1400000US06037120400,"Census Tract 1204, Los Angeles County, California",6155,2753,0,222,1754,1426
1400000US06037121010,"Census Tract 1210.10, Los Angeles County, California",5243,2440,0,84,1596,1123
1400000US06037121020,"Census Tract 1210.20, Los Angeles County, California",3626,1841,9,36,885,855
1400000US06037121101,"Census Tract 1211.01, Los Angeles County, California",3088,1550,0,0,925,613
1400000US06037121102,"Census Tract 1211.02, Los Angeles County, California",2273,1457,16,0,547,253
1400000US06037121210,"Census Tract 1212.10, Los Angeles County, California",3109,1400,0,0,975,734
1400000US06037121221,"Census Tract 1212.21, Los Angeles County, California",2329,1083,0,48,775,423
1400000US06037121222,"Census Tract 1212.22, Los Angeles County, California",4808,2619,0,19,1092,1078
1400000US06037121600,"Census Tract 1216, Los Angeles County, California",2745,1337,0,42,1030,336
1400000US06037121801,"Census Tract 1218.01, Los Angeles County, California",3374,1781,0,22,794,777
1400000US06037121802,"Census Tract 1218.02, Los Angeles County, California",3017,1865,11,76,703,362
1400000US06037121900,"Census Tract 1219, Los Angeles County, California",3548,2086,0,50,896,516
1400000US06037122000,"Census Tract 1220, Los Angeles County, California",4940,2608,0,26,1889,417
1400000US06037122120,"Census Tract 1221.20, Los Angeles County, California",5342,2965,27,22,1178,1150
1400000US06037122121,"Census Tract 1221.21, Los Angeles County, California",2815,1531,0,34,804,446
1400000US06037122122,"Census Tract 1221.22, Los Angeles County, California",2556,1331,0,0,494,731
1400000US06037122200,"Census Tract 1222, Los Angeles County, California",3662,1793,0,34,1041,794
1400000US06037122410,"Census Tract 1224.10, Los Angeles County, California",3615,1916,0,25,933,741
1400000US06037122420,"Census Tract 1224.20, Los Angeles County, California",5077,2769,0,23,947,1338
1400000US06037123010,"Census Tract 1230.10, Los Angeles County, California",4112,1931,0,61,972,1148
1400000US06037123020,"Census Tract 1230.20, Los Angeles County, California",2783,1480,0,21,680,602
1400000US06037123103,"Census Tract 1231.03, Los Angeles County, California",3997,2429,0,25,1005,538
1400000US06037123104,"Census Tract 1231.04, Los Angeles County, California",4565,2766,18,102,1081,598
1400000US06037123203,"Census Tract 1232.03, Los Angeles County, California",3089,1863,0,51,718,457
1400000US06037123204,"Census Tract 1232.04, Los Angeles County, California",3281,1773,31,12,908,557
1400000US06037123205,"Census Tract 1232.05, Los Angeles County, California",2767,1571,7,4,643,542
1400000US06037123206,"Census Tract 1232.06, Los Angeles County, California",2289,1179,14,24,511,561
1400000US06037123301,"Census Tract 1233.01, Los Angeles County, California",4302,2244,0,40,1400,618
1400000US06037123303,"Census Tract 1233.03, Los Angeles County, California",2996,1539,0,8,832,617
1400000US06037123304,"Census Tract 1233.04, Los Angeles County, California",4467,2033,0,10,1757,667
1400000US06037123410,"Census Tract 1234.10, Los Angeles County, California",3826,1813,7,40,966,1000
1400000US06037123420,"Census Tract 1234.20, Los Angeles County, California",4731,2510,0,0,1475,746
1400000US06037123510,"Census Tract 1235.10, Los Angeles County, California",5079,2617,10,65,1179,1208
1400000US06037123520,"Census Tract 1235.20, Los Angeles County, California",2700,1552,0,17,545,586
1400000US06037123601,"Census Tract 1236.01, Los Angeles County, California",4811,3012,84,13,1057,645
1400000US06037123602,"Census Tract 1236.02, Los Angeles County, California",3412,2271,0,15,577,549
1400000US06037123700,"Census Tract 1237, Los Angeles County, California",4474,2460,85,176,1122,631
1400000US06037123800,"Census Tract 1238, Los Angeles County, California",5753,3438,0,102,1533,680
1400000US06037123901,"Census Tract 1239.01, Los Angeles County, California",4158,2525,16,129,987,501
1400000US06037123902,"Census Tract 1239.02, Los Angeles County, California",2791,1705,0,37,730,319
1400000US06037124000,"Census Tract 1240, Los Angeles County, California",4836,3546,0,69,740,481
1400000US06037124102,"Census Tract 1241.02, Los Angeles County, California",3597,2234,27,107,546,683
1400000US06037124103,"Census Tract 1241.03, Los Angeles County, California",1956,1019,0,9,509,419
1400000US06037124104,"Census Tract 1241.04, Los Angeles County, California",2596,1339,0,20,596,641
1400000US06037124105,"Census Tract 1241.05, Los Angeles County, California",2428,1337,0,30,566,495
1400000US06037124201,"Census Tract 1242.01, Los Angeles County, California",3496,1687,0,22,1141,646
