OBJECTID,TRACTCE10,POP,LATPOP_D,WHIPOP_D,BLAPOP_D,AMIPOP_D,ASIPOP_D,HPIPOP_D,OTHPOP_D,MMRPOP_D,VAP,LATVAP_D,WHIVAP_D,BLAVAP_D,AMIVAP_D,ASIVAP_D,HPIVAP_D,OTHVAP_D,MMRVAP_D,H0010001,H0010002,H0010003,TOOLTIP,NLA_URL
132,119310,3871,2668,425,163,2,559,4,10,40,2870,1870,385,119,2,454,4,5,31,1150,1090,60,Tract: 1193.10\nTotal Population: 3871,navigatela/reports/census_tracts_2010.cfm?PK=119310
133,119320,4694,3268,317,204,3,830,3,11,58,3285,2183,260,155,3,637,2,8,37,1183,1119,64,Tract: 1193.20\nTotal Population: 4694,navigatela/reports/census_tracts_2010.cfm?PK=119320
134,119340,3884,3654,86,77,1,50,0,6,10,2492,2310,67,62,1,39,0,6,7,982,923,59,Tract: 1193.40\nTotal Population: 3884,navigatela/reports/census_tracts_2010.cfm?PK=119340
135,119341,2719,1484,262,94,1,817,9,6,46,2036,1034,214,79,1,667,3,3,35,797,766,31,Tract: 1193.41\nTotal Population: 2719,navigatela/reports/census_tracts_2010.cfm?PK=119341
136,119342,3180,2551,151,112,10,318,0,18,20,2148,1663,125,76,6,261,0,4,13,742,714,28,Tract: 1193.42\nTotal Population: 3180,navigatela/reports/census_tracts_2010.cfm?PK=119342
137,119400,4987,4079,385,64,16,376,4,24,39,3629,2854,348,54,12,307,3,19,32,1133,1088,45,Tract: 1194.00\nTotal Population: 4987,navigatela/reports/census_tracts_2010.cfm?PK=119400
138,119700,5045,2392,1352,75,8,1122,6,10,80,3873,1682,1137,62,6,919,5,4,58,1328,1294,34,Tract: 1197.00\nTotal Population: 5045,navigatela/reports/census_tracts_2010.cfm?PK=119700
139,119800,6108,4776,545,62,5,673,3,8,36,4484,3363,470,58,4,559,3,3,24,1437,1393,44,Tract: 1198.00\nTotal Population: 6108,navigatela/reports/census_tracts_2010.cfm?PK=119800
140,119900,4940,3164,577,65,4,1049,1,15,65,3641,2167,503,49,3,869,1,3,46,1225,1190,35,Tract: 1199.00\nTotal Population: 4940,navigatela/reports/census_tracts_2010.cfm?PK=119900
141,120010,2844,2216,218,59,2,274,13,16,46,2014,1503,200,42,2,226,9,10,22,696,671,25,Tract: 1200.10\nTotal Population: 2844,navigatela/reports/census_tracts_2010.cfm?PK=120010
142,120020,4057,3100,203,84,12,615,0,11,32,2875,2080,172,63,10,519,0,5,26,1120,1040,80,Tract: 1200.20\nTotal Population: 4057,navigatela/reports/census_tracts_2010.cfm?PK=120020
143,120030,2675,2483,73,8,1,99,2,1,8,1661,1516,49,7,1,81,1,1,5,666,609,57,Tract: 1200.30\nTotal Population: 2675,navigatela/reports/census_tracts_2010.cfm?PK=120030
144,120103,3287,3021,74,95,0,77,0,6,14,2096,1897,53,75,0,61,0,2,8,865,794,71,Tract: 1201.03\nTotal Population: 3287,navigatela/reports/census_tracts_2010.cfm?PK=120103
145,120104,2310,1599,184,126,3,358,1,2,37,1671,1065,155,116,3,298,1,0,33,764,726,38,Tract: 1201.04\nTotal Population: 2310,navigatela/reports/census_tracts_2010.cfm?PK=120104
146,120105,2812,2043,280,52,3,403,1,12,18,2059,1397,251,39,3,347,1,4,17,864,830,34,Tract: 1201.05\nTotal Population: 2812,navigatela/reports/census_tracts_2010.cfm?PK=120105
147,120106,4417,3427,206,93,3,624,5,15,44,3008,2201,176,75,3,509,4,9,31,1197,1118,79,Tract: 1201.06\nTotal Population: 4417,navigatela/reports/census_tracts_2010.cfm?PK=120106
148,120107,3818,3276,203,78,5,202,0,10,44,2406,1978,159,65,2,166,0,4,32,1046,973,73,Tract: 1201.07\nTotal Population: 3818,navigatela/reports/census_tracts_2010.cfm?PK=120107
149,120108,4838,3976,301,183,16,310,7,19,26,3255,2565,263,123,15,258,3,9,19,1302,1218,84,Tract: 1201.08\nTotal Population: 4838,navigatela/reports/census_tracts_2010.cfm?PK=120108
150,120300,5531,3381,898,86,12,1075,2,10,67,4196,2414,765,68,5,887,2,4,51,1463,1404,59,Tract: 1203.00\nTotal Population: 5531,navigatela/reports/census_tracts_2010.cfm?PK=120300
151,120400,6272,3556,1110,176,10,1283,12,14,111,4771,2538,950,154,5,1022,10,7,85,2022,1946,76,Tract: 1204.00\nTotal Population: 6272,navigatela/reports/census_tracts_2010.cfm?PK=120400
152,121010,4989,3125,1203,49,16,523,0,18,55,3781,2194,1023,46,11,448,0,14,45,1301,1256,45,Tract: 1210.10\nTotal Population: 4989,navigatela/reports/census_tracts_2010.cfm?PK=121010
